Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
LysoPI(18:0/0:0) (HMDB0240261),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Stearoylglycerophosphoglycerol (HMDB0061697),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(0:0/16:0) (HMDB0240262),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
13-Methylmyristic acid (HMDB0061707),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
15-Methylpalmitate (HMDB0061709),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
17-Methyloctadecanoic acid (HMDB0037397),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Methylphosphate (HMDB0061711),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitoyl sphingomyelin (HMDB0061712),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosadienoate (22:2n6) (HMDB0061714),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hexaethylene glycol (HMDB0061822),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Heptaethylene glycol (HMDB0061835),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caproate (6:0) (HMDB0061883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3-Dihydro-(2H)-indol-2-one (HMDB0061918)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
9Z-Eicosenoic acid (HMDB0062436),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(16:0/0:0) (HMDB0010382),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxystearic acid (HMDB0062549),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamyltyrosine (HMDB0028831),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylthreonine (HMDB0062557),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
trizma acetate (HMDB0062561),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Butyric acid (HMDB0000039),Feces,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Not Specified,Colorectal cancer
"3,7-Dimethyluric acid (HMDB0001982)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Imidazolepropionic acid (HMDB0002271),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Campesterol (HMDB0002869),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosapentaenoic acid (22n-3) (HMDB0006528),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPE(P-16:0/0:0) (HMDB0011152),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylphenylalanine (HMDB0029046),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonylisoleucine (HMDB0029064),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonylleucine (HMDB0029065),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonylvaline (HMDB0029074),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihydroferulic acid (HMDB0062121),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihydroferulic acid (HMDB0062121),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Pentanamido-3-phenylpropanoic acid (HMDB0094646),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leu-Leu-Leu (HMDB0094648),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Aminoheptanoate (HMDB0094649),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"5alpha-Pregnan-3beta,20alpha-diol disulfate (HMDB0094650)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamylvaline (HMDB0094651),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxydecanoate (HMDB0094656),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Oxindole-3-acetate (HMDB0094657),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxytetradecanoic acid (HMDB0061656),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cyclo(Leu-Phe) (HMDB0094673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Val-Val-Val (HMDB0094676),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamyltryptophan (HMDB0028830),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamyltryptophan (HMDB0028830),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octaethylene glycol (HMDB0094680),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"5alpha-Androstan-3alpha,17beta-diol disulfate (HMDB0094682)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Monooleoylglycerol (HMDB0094684),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(18:0/0:0) (HMDB0010384),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Aminobutanoic acid (HMDB0031654),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Methyl-L-proline (HMDB0094696),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylproline (HMDB0094701),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Propionylmethionine (HMDB0094704),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylvaline (HMDB0029052),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-[3-(Sulfooxy)phenyl]propanoic acid (HMDB0094710),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylleucine (HMDB0029043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tetraethylene glycol (HMDB0094708),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,11-Undecanedicarboxylic acid (HMDB0002327)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propylene glycol (HMDB0001881),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Hexadecanol (HMDB0003424),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Methylxanthine (HMDB0010738),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octadecanol (HMDB0002350),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:0/0:0/0:0) (HMDB0011131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(18:0/0:0) (HMDB0010384),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
10Z-Heptadecenoic acid (HMDB0060038),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
12-Methyltridecanoic acid (HMDB0031072),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
13-Methylmyristic acid (HMDB0061707),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
15-Methylpalmitate (HMDB0061709),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
17-Methyloctadecanoic acid (HMDB0037397),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyinosine (HMDB0000071),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aminoadipic acid (HMDB0000510),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-alpha-Aminobutyric acid (HMDB0000452),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Norvaline (HMDB0013716),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Ethylhexanoic acid (HMDB0031230),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxybutyric acid (HMDB0000008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyglutarate (HMDB0059655),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Hydroxyisobutyric acid (HMDB0000729),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxymyristic acid (HMDB0002261),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"xi-2,3-Dihydro-2-oxo-1H-indole-3-acetic acid (HMDB0035514)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Protocatechuic acid (HMDB0001856),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-(2-Hydroxyphenyl)propanoic acid (HMDB0033752),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Desaminotyrosine (HMDB0002199),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Dehydrocarnitine (HMDB0012154),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxybenzoic acid (HMDB0002466),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
(S)-3-Hydroxyisobutyric acid (HMDB0000023),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyoctanoic acid (HMDB0001954),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydroxypropionic acid (HMDB0000700),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methyl-2-oxovaleric acid (HMDB0000491),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydrocinnamic acid (HMDB0000764),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Acetamidobutanoic acid (HMDB0003681),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Guanidinobutanoic acid (HMDB0003464),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzoic acid (HMDB0000500),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzyl alcohol (HMDB0011724),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybutyric acid (HMDB0000710),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxycinnamic acid (HMDB0002035),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Hydroxyphenylacetic acid (HMDB0000020),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ketoleucine (HMDB0000695),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihydrouracil (HMDB0000076),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Aminopentanoic acid (HMDB0003355),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5Z-Dodecenoic acid (HMDB0000529),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
delta-Hexanolactone (HMDB0000453),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Hydroxyhexanoic acid (HMDB0000525),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamic acid (HMDB0000267),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
6-Hydroxynicotinic acid (HMDB0002658),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
6-Oxopiperidine-2-carboxylic acid (HMDB0061705),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7beta-Hydroxycholesterol (HMDB0006119),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetoacetic acid (HMDB0000060),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adenine (HMDB0000034),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adenosine (HMDB0000050),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylalanine (HMDB0028680),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylglutamic acid (HMDB0028686),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylisoleucine (HMDB0028690),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylleucine (HMDB0028691),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylphenylalanine (HMDB0028694),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylproline (HMDB0028695),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanyltryptophan (HMDB0013209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanyltyrosine (HMDB0028699),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylvaline (HMDB0028700),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Epi-alpha-amyrin (HMDB0036657),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamylvaline (HMDB0028832),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucinic acid (HMDB0000665),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Tocopherol (HMDB0001893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Aminobenzoic acid (HMDB0001123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citronellyl anthranilate (HMDB0032208),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arachidic acid (HMDB0002212),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arachidonic acid (HMDB0001043),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arginine (HMDB0000517),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylisoleucine (HMDB0028712),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylleucine (HMDB0028713),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylphenylalanine (HMDB0028716),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylvaline (HMDB0028722),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Asparagine (HMDB0000168),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartyl-Leucine (HMDB0028757),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartylphenylalanine (HMDB0000706),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Azelaic acid (HMDB0000784),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Behenic acid (HMDB0000944),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Benzoic acid (HMDB0001870),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Alanine (HMDB0000056),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxyisovaleric acid (HMDB0000754),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Biliverdin (HMDB0001008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cadaverine (HMDB0002322),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caffeine (HMDB0001847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Capric acid (HMDB0000511),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caproic acid (HMDB0000535),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caprylic acid (HMDB0000482),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Carnitine (HMDB0000062),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cholesterol (HMDB0000067),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Choline (HMDB0000097),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
cis-Vaccenic acid (HMDB0240219),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citric acid (HMDB0000094),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cysteine (HMDB0000574),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cytosine (HMDB0000630),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Daidzein (HMDB0003312),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dehydroepiandrosterone sulfate (HMDB0001032),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Tocopherol (HMDB0006335),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Trimethylammoniobutanoic acid (HMDB0001161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxycholic acid (HMDB0000626),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihomolinoleic acid (HMDB0061864),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Asymmetric dimethylarginine (HMDB0001539),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Symmetric dimethylarginine (HMDB0003334),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosadienoate (22:2n6) (HMDB0061714),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosahexaenoic acid (HMDB0002183),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosapentaenoic acid (22n-6) (HMDB0001976),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosapentaenoic acid (22n-3) (HMDB0006528),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosatrienoic acid (HMDB0002823),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dodecanedioic acid (HMDB0000623),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Traumatic acid (HMDB0000933),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Eicosapentaenoic acid (HMDB0001999),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
11Z-Eicosenoic acid (HMDB0002231),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Enterolactone (HMDB0006101),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Erythronic acid (HMDB0000613),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ethanolamine (HMDB0000149),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ferulic acid (HMDB0000954),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Fructose (HMDB0000660),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fucosterol (HMDB0030021),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Galactose (HMDB0000143),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pectic acid (HMDB0003363),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Aminobutyric acid (HMDB0000112),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylglutamic acid (HMDB0011737),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylisoleucine (HMDB0011170),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
